Name,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17
ARI,NO,@CHI,SF,STL,@DET,@PIT,BAL,@CLE,BYE,@SEA,CIN,@SF,@STL,MIN,@PHI,GB,SEA
ATL,PHI,@NYG,@DAL,HOU,WAS,@NO,@TEN,TB,@SF,BYE,IND,MIN,@TB,@CAR,@JAC,CAR,NO
BAL,@DEN,@OAK,CIN,@PIT,CLE,@SF,@ARI,SD,BYE,JAC,STL,@CLE,@MIA,SEA,KC,PIT,@CIN
BUF,IND,NE,@MIA,NYG,@TEN,CIN,JAC,BYE,MIA,@NYJ,@NE,@KC,HOU,@PHI,@WAS,DAL,NYJ
CAR,@JAC,HOU,NO,@TB,BYE,@SEA,PHI,IND,GB,@TEN,WAS,@DAL,@NO,ATL,@NYG,@ATL,TB
CHI,GB,ARI,@SEA,OAK,@KC,@DET,BYE,MIN,@SD,@STL,DEN,@GB,SF,WAS,@MIN,@TB,DET
CIN,@OAK,SD,@BAL,KC,SEA,@BUF,BYE,@PIT,CLE,HOU,@ARI,STL,@CLE,PIT,@SF,@DEN,BAL
CLE,@NYJ,TEN,OAK,@SD,@BAL,DEN,@STL,ARI,@CIN,@PIT,BYE,BAL,CIN,SF,@SEA,@KC,PIT
DAL,NYG,@PHI,ATL,@NO,NE,BYE,@NYG,SEA,PHI,@TB,@MIA,CAR,@WAS,@GB,NYJ,@BUF,WAS
DEN,BAL,@KC,@DET,MIN,@OAK,@CLE,BYE,GB,@IND,KC,@CHI,NE,@SD,OAK,@PIT,CIN,SD
DET,@SD,@MIN,DEN,@SEA,ARI,CHI,MIN,KC,BYE,@GB,OAK,PHI,GB,@STL,@NO,SF,@CHI
GB,@CHI,SEA,KC,@SF,STL,SD,BYE,@DEN,@CAR,DET,@MIN,CHI,@DET,DAL,@OAK,@ARI,MIN
HOU,KC,@CAR,TB,@ATL,IND,@JAC,@MIA,TEN,BYE,@CIN,NYJ,NO,@BUF,NE,@IND,@TEN,JAC
IND,@BUF,NYJ,@TEN,JAC,@HOU,NE,NO,@CAR,DEN,BYE,@ATL,TB,@PIT,@JAC,HOU,@MIA,TEN
JAC,CAR,MIA,@NE,@IND,@TB,HOU,BUF,BYE,@NYJ,@BAL,TEN,SD,@TEN,IND,ATL,@NO,@HOU
KC,@HOU,DEN,@GB,@CIN,CHI,@MIN,PIT,DET,BYE,@DEN,@SD,BUF,@OAK,SD,@BAL,CLE,OAK
MIA,@WAS,@JAC,BUF,NYJ,BYE,@TEN,HOU,@NE,@BUF,@PHI,DAL,@NYJ,BAL,NYG,@SD,IND,NE
MIN,@SF,DET,SD,@DEN,BYE,KC,@DET,@CHI,STL,@OAK,GB,@ATL,SEA,@ARI,CHI,NYG,@GB
NE,PIT,@BUF,JAC,BYE,@DAL,@IND,NYJ,MIA,WAS,@NYG,BUF,@DEN,PHI,@HOU,TEN,@NYJ,@MIA
NO,@ARI,TB,@CAR,DAL,@PHI,ATL,@IND,NYG,TEN,@WAS,BYE,@HOU,CAR,@TB,DET,JAC,@ATL
NYG,@DAL,ATL,WAS,@BUF,SF,@PHI,DAL,@NO,@TB,NE,BYE,@WAS,NYJ,@MIA,CAR,@MIN,PHI
NYJ,CLE,@IND,PHI,MIA,BYE,WAS,@NE,@OAK,JAC,BUF,@HOU,MIA,@NYG,TEN,@DAL,NE,@BUF
OAK,CIN,BAL,@CLE,@CHI,DEN,BYE,@SD,NYJ,@PIT,MIN,@DET,@TEN,KC,@DEN,GB,SD,@KC
PHI,@ATL,DAL,@NYJ,@WAS,NO,NYG,@CAR,BYE,@DAL,MIA,TB,@DET,@NE,BUF,ARI,WAS,@NYG
PIT,@NE,SF,@STL,BAL,@SD,ARI,@KC,CIN,OAK,CLE,BYE,@SEA,IND,@CIN,DEN,@BAL,@CLE
SD,DET,@CIN,@MIN,CLE,PIT,@GB,OAK,@BAL,CHI,BYE,KC,@JAC,DEN,@KC,MIA,@OAK,@DEN
SEA,@STL,@GB,CHI,DET,@CIN,CAR,@SF,@DAL,BYE,ARI,SF,PIT,@MIN,@BAL,CLE,STL,@ARI
SF,MIN,@PIT,@ARI,GB,@NYG,BAL,SEA,@STL,ATL,BYE,@SEA,ARI,@CHI,@CLE,CIN,@DET,STL
STL,SEA,@WAS,PIT,@ARI,@GB,BYE,CLE,SF,@MIN,CHI,@BAL,@CIN,ARI,DET,TB,@SEA,@SF
TB,TEN,@NO,@HOU,CAR,JAC,BYE,@WAS,@ATL,NYG,DAL,@PHI,@IND,ATL,NO,@STL,CHI,@CAR
TEN,@TB,@CLE,IND,BYE,BUF,MIA,ATL,@HOU,@NO,CAR,@JAC,OAK,JAC,@NYJ,@NE,HOU,@IND
WAS,MIA,STL,@NYG,PHI,@ATL,@NYJ,TB,BYE,@NE,NO,@CAR,NYG,DAL,@CHI,BUF,@PHI,@DAL
